"DMS_ORIG","DMS_DEST","SCTG2","DMS_MODE","Total KTons in 2015"
"Iowa","Detroit MI","Plastics/rubber","Truck","2.062959"
"Iowa","Grand Rapids MI","Plastics/rubber","Truck","22.233440"
"Iowa","Rest of MI","Plastics/rubber","Truck","10.425778"
"Iowa","Minneapolis-St. Paul MN-WI (MN Part)","Plastics/rubber","Truck","23.980165"
"Iowa","Rest of MN","Plastics/rubber","Truck","38.120480"
"Iowa","Mississippi","Plastics/rubber","Truck","1.031326"
"Iowa","Kansas City MO-KS (MO Part)","Plastics/rubber","Truck","6.273702"
"Iowa","St. Louis MO-IL (MO Part)","Plastics/rubber","Truck","38.561489"
"Iowa","Rest of MO","Plastics/rubber","Truck","69.395294"
"Iowa","Montana","Plastics/rubber","Truck","0.908465"
"Iowa","Omaha NE-IA (NE Part)","Plastics/rubber","Truck","6.888313"
"Iowa","Rest of NE","Plastics/rubber","Truck","20.578060"
"Iowa","Las Vegas NV-AZ (NV Part)","Plastics/rubber","Truck","0.160514"
"Iowa","Rest of NV","Plastics/rubber","Truck","0.044934"
"Iowa","Boston MA-RI-NH-CT (NH Part)","Plastics/rubber","Truck","0.289462"
"Iowa","New York NY-NJ-CT-PA (NJ Part)","Plastics/rubber","Truck","0.844397"
"Iowa","Philadelphia PA-NJ-DE-MD (NJ Part)","Plastics/rubber","Truck","0.641499"
"Iowa","New Mexico","Plastics/rubber","Truck","2.480585"
"Iowa","Albany NY  CFS Area","Plastics/rubber","Truck","0.230152"
"Iowa","Buffalo NY  CFS Area","Plastics/rubber","Truck","0.290105"
"Iowa","New York NY-NJ-CT-PA (NY Part)","Plastics/rubber","Truck","0.090409"
"Iowa","Rochester NY","Plastics/rubber","Truck","0.068309"
"Iowa","Rest of NY","Plastics/rubber","Truck","12.620137"
"Iowa","Charlotte NC-SC (NC Part)","Plastics/rubber","Truck","2.171051"
"Iowa","Greensboro--Winston-Salem--High Point NC","Plastics/rubber","Truck","14.271652"
"Iowa","Raleigh-Durham NC","Plastics/rubber","Truck","8.295552"
"Iowa","Rest of NC","Plastics/rubber","Truck","17.727955"
"Iowa","North Dakota","Plastics/rubber","Truck","12.854124"
"Iowa","Cincinnati OH-KY-IN (OH Part)","Plastics/rubber","Truck","2.014695"
"Iowa","Cleveland OH","Plastics/rubber","Truck","2.464132"
"Iowa","Columbus OH","Plastics/rubber","Truck","14.561980"
"Iowa","Dayton OH","Plastics/rubber","Truck","1.174040"
"Iowa","Rest of OH","Plastics/rubber","Truck","10.594529"
"Iowa","Oklahoma City OK","Plastics/rubber","Truck","4.758262"
"Iowa","Tulsa OK","Plastics/rubber","Truck","0.375504"
"Iowa","Rest of OK","Plastics/rubber","Truck","12.439884"
"Iowa","Portland OR-WA (OR Part)","Plastics/rubber","Truck","45.650963"
"Iowa","Rest of OR","Plastics/rubber","Truck","1.755994"
"Iowa","Philadelphia PA-NJ-DE-MD (PA Part)","Plastics/rubber","Truck","2.263169"
"Iowa","Pittsburgh PA-OH-WV (PA Part)","Plastics/rubber","Truck","2.229948"
"Iowa","New York NY-NJ-CT-PA (PA Part)","Plastics/rubber","Truck","0.333252"
"Iowa","Rest of PA","Plastics/rubber","Truck","16.035614"
"Iowa","Boston MA-RI-NH-CT (RI Part)","Plastics/rubber","Truck","0.294716"
"Iowa","Greenville SC","Plastics/rubber","Truck","0.270791"
"Iowa","Rest of SC","Plastics/rubber","Truck","0.869506"
"Iowa","South Dakota","Plastics/rubber","Truck","35.429371"
"Iowa","Memphis TN-MS-AR (TN Part)","Plastics/rubber","Truck","2.872338"
"Iowa","Nashville TN","Plastics/rubber","Truck","2.433810"
"Iowa","Knoxville TN","Plastics/rubber","Truck","1.034121"
"Iowa","Rest of TN","Plastics/rubber","Truck","8.329835"
"Iowa","Austin TX","Plastics/rubber","Truck","3.996184"
"Iowa","Beaumont TX","Plastics/rubber","Truck","2.124989"
"Iowa","Dallas-Fort Worth TX-OK (TX Part)","Plastics/rubber","Truck","14.279761"
"Iowa","Houston TX","Plastics/rubber","Truck","11.720066"
"Iowa","Laredo TX","Plastics/rubber","Truck","0.768267"
"Iowa","San Antonio TX","Plastics/rubber","Truck","4.970252"
"Iowa","Rest of TX","Plastics/rubber","Truck","4.820492"
"Iowa","Salt Lake City UT","Plastics/rubber","Truck","0.913631"
"Iowa","Rest of UT","Plastics/rubber","Truck","0.954239"
"Iowa","Vermont","Plastics/rubber","Truck","0.260142"
"Iowa","Richmond VA","Plastics/rubber","Truck","0.321843"
"Iowa","Virginia Beach-Norfolk VA-NC (VA Part)","Plastics/rubber","Truck","1.205204"
"Iowa","Washington DC-VA-MD-WV (VA Part)","Plastics/rubber","Truck","0.179825"
"Iowa","Rest of VA","Plastics/rubber","Truck","0.321817"
"Iowa","Seattle WA","Plastics/rubber","Truck","1.779571"
"Iowa","Rest of WA","Plastics/rubber","Truck","0.858219"
"Iowa","West Virginia","Plastics/rubber","Truck","0.953008"
"Iowa","Milwaukee WI","Plastics/rubber","Truck","26.992504"
"Iowa","Rest of WI","Plastics/rubber","Truck","169.365997"
"Iowa","Wyoming","Plastics/rubber","Truck","0.250544"
"Kansas City MO-KS (KS Part)","Rest of AL","Plastics/rubber","Truck","3.559400"
"Kansas City MO-KS (KS Part)","Phoenix AZ","Plastics/rubber","Truck","0.498320"
"Kansas City MO-KS (KS Part)","Tucson AZ","Plastics/rubber","Truck","0.246127"
"Kansas City MO-KS (KS Part)","Arkansas","Plastics/rubber","Truck","4.053311"
"Kansas City MO-KS (KS Part)","Los Angeles CA","Plastics/rubber","Truck","8.324756"
"Kansas City MO-KS (KS Part)","Sacramento CA","Plastics/rubber","Truck","0.119965"
"Kansas City MO-KS (KS Part)","San Diego CA","Plastics/rubber","Truck","1.700166"
"Kansas City MO-KS (KS Part)","San Francisco CA","Plastics/rubber","Truck","0.999774"
"Kansas City MO-KS (KS Part)","Rest of CA","Plastics/rubber","Truck","7.850500"
"Kansas City MO-KS (KS Part)","Denver CO","Plastics/rubber","Truck","8.569234"
"Kansas City MO-KS (KS Part)","Rest of CO","Plastics/rubber","Truck","16.364880"
"Kansas City MO-KS (KS Part)","Hartford CT","Plastics/rubber","Truck","4.196793"
"Kansas City MO-KS (KS Part)","New York NY-NJ-CT-PA (CT Part)","Plastics/rubber","Truck","0.921172"
"Kansas City MO-KS (KS Part)","Washington DC-VA-MD-WV (DC Part)","Plastics/rubber","Truck","14.185575"
"Kansas City MO-KS (KS Part)","Jacksonville FL-GA  CFS Area (FL Part)","Plastics/rubber","Truck","0.298286"
"Kansas City MO-KS (KS Part)","Miami FL","Plastics/rubber","Truck","21.109621"
"Kansas City MO-KS (KS Part)","Orlando FL","Plastics/rubber","Truck","0.154702"
"Kansas City MO-KS (KS Part)","Tampa FL","Plastics/rubber","Truck","5.814588"
"Kansas City MO-KS (KS Part)","Rest of FL","Plastics/rubber","Truck","8.297260"
"Kansas City MO-KS (KS Part)","Atlanta GA","Plastics/rubber","Truck","22.217516"
"Kansas City MO-KS (KS Part)","Rest of GA","Plastics/rubber","Truck","0.247448"
"Kansas City MO-KS (KS Part)","Chicago IL-IN-WI (IL Part)","Plastics/rubber","Truck","17.354155"
"Kansas City MO-KS (KS Part)","St. Louis MO-IL (IL Part)","Plastics/rubber","Truck","0.252925"
"Kansas City MO-KS (KS Part)","Rest of IL","Plastics/rubber","Truck","1.548683"
"Kansas City MO-KS (KS Part)","Indianapolis IN","Plastics/rubber","Truck","0.826795"
"Kansas City MO-KS (KS Part)","Fort Wayne IN","Plastics/rubber","Truck","0.331799"
"Kansas City MO-KS (KS Part)","Rest of IN","Plastics/rubber","Truck","4.708506"
"Kansas City MO-KS (KS Part)","Iowa","Plastics/rubber","Truck","14.376590"
"Kansas City MO-KS (KS Part)","Kansas City MO-KS (KS Part)","Plastics/rubber","Truck","50.644611"
"Kansas City MO-KS (KS Part)","Wichita KS","Plastics/rubber","Truck","7.174205"
"Kansas City MO-KS (KS Part)","Rest of KS","Plastics/rubber","Truck","32.161160"
"Kansas City MO-KS (KS Part)","Cincinnati OH-KY-IN (KY Part)","Plastics/rubber","Truck","1.999128"
"Kansas City MO-KS (KS Part)","Louisville KY-IN (KY Part)","Plastics/rubber","Truck","0.180650"
"Kansas City MO-KS (KS Part)","Rest of KY","Plastics/rubber","Truck","2.362067"
"Kansas City MO-KS (KS Part)","New Orleans LA-MS (LA Part)","Plastics/rubber","Truck","0.861951"
"Kansas City MO-KS (KS Part)","Rest of LA","Plastics/rubber","Truck","1.914354"
"Kansas City MO-KS (KS Part)","Maine","Plastics/rubber","Truck","0.200162"
"Kansas City MO-KS (KS Part)","Baltimore MD","Plastics/rubber","Truck","0.185183"
"Kansas City MO-KS (KS Part)","Washington DC-VA-MD-WV (MD Part)","Plastics/rubber","Truck","9.562718"
"Kansas City MO-KS (KS Part)","Rest of MD","Plastics/rubber","Truck","0.211908"
"Kansas City MO-KS (KS Part)","Boston MA-RI-NH-CT (MA Part)","Plastics/rubber","Truck","5.415292"
"Kansas City MO-KS (KS Part)","Detroit MI","Plastics/rubber","Truck","0.189790"
"Kansas City MO-KS (KS Part)","Grand Rapids MI","Plastics/rubber","Truck","1.024145"
"Kansas City MO-KS (KS Part)","Rest of MI","Plastics/rubber","Truck","9.264470"
"Kansas City MO-KS (KS Part)","Minneapolis-St. Paul MN-WI (MN Part)","Plastics/rubber","Truck","8.362727"
"Kansas City MO-KS (KS Part)","Rest of MN","Plastics/rubber","Truck","4.445081"
"Kansas City MO-KS (KS Part)","Mississippi","Plastics/rubber","Truck","1.846296"
"Kansas City MO-KS (KS Part)","Kansas City MO-KS (MO Part)","Plastics/rubber","Truck","65.305733"
"Kansas City MO-KS (KS Part)","St. Louis MO-IL (MO Part)","Plastics/rubber","Truck","10.178929"
"Kansas City MO-KS (KS Part)","Rest of MO","Plastics/rubber","Truck","23.428822"
"Kansas City MO-KS (KS Part)","Montana","Plastics/rubber","Truck","0.229258"
"Kansas City MO-KS (KS Part)","Omaha NE-IA (NE Part)","Plastics/rubber","Truck","10.652896"
"Kansas City MO-KS (KS Part)","Rest of NE","Plastics/rubber","Truck","14.509966"
"Kansas City MO-KS (KS Part)","Las Vegas NV-AZ (NV Part)","Plastics/rubber","Truck","19.191534"
"Kansas City MO-KS (KS Part)","Rest of NV","Plastics/rubber","Truck","0.180990"
"Kansas City MO-KS (KS Part)","Boston MA-RI-NH-CT (NH Part)","Plastics/rubber","Truck","0.198168"
"Kansas City MO-KS (KS Part)","New York NY-NJ-CT-PA (NJ Part)","Plastics/rubber","Truck","1.043378"
"Kansas City MO-KS (KS Part)","Philadelphia PA-NJ-DE-MD (NJ Part)","Plastics/rubber","Truck","1.027794"
"Kansas City MO-KS (KS Part)","New Mexico","Plastics/rubber","Truck","0.294770"
"Kansas City MO-KS (KS Part)","Albany NY  CFS Area","Plastics/rubber","Truck","0.262538"
"Kansas City MO-KS (KS Part)","Buffalo NY  CFS Area","Plastics/rubber","Truck","0.172754"
"Kansas City MO-KS (KS Part)","New York NY-NJ-CT-PA (NY Part)","Plastics/rubber","Truck","0.393729"
"Kansas City MO-KS (KS Part)","Rochester NY","Plastics/rubber","Truck","0.301318"
"Kansas City MO-KS (KS Part)","Rest of NY","Plastics/rubber","Truck","4.940778"
"Kansas City MO-KS (KS Part)","Charlotte NC-SC (NC Part)","Plastics/rubber","Truck","31.495983"
"Kansas City MO-KS (KS Part)","Greensboro--Winston-Salem--High Point NC","Plastics/rubber","Truck","1.604174"
"Kansas City MO-KS (KS Part)","Raleigh-Durham NC","Plastics/rubber","Truck","0.812564"
"Kansas City MO-KS (KS Part)","Rest of NC","Plastics/rubber","Truck","7.994352"
"Kansas City MO-KS (KS Part)","North Dakota","Plastics/rubber","Truck","0.967120"
"Kansas City MO-KS (KS Part)","Cincinnati OH-KY-IN (OH Part)","Plastics/rubber","Truck","1.270812"
"Kansas City MO-KS (KS Part)","Cleveland OH","Plastics/rubber","Truck","19.256014"
"Kansas City MO-KS (KS Part)","Columbus OH","Plastics/rubber","Truck","0.216041"
"Kansas City MO-KS (KS Part)","Dayton OH","Plastics/rubber","Truck","0.227917"
"Kansas City MO-KS (KS Part)","Rest of OH","Plastics/rubber","Truck","0.759015"
"Kansas City MO-KS (KS Part)","Oklahoma City OK","Plastics/rubber","Truck","11.012973"
"Kansas City MO-KS (KS Part)","Tulsa OK","Plastics/rubber","Truck","2.852940"
"Kansas City MO-KS (KS Part)","Rest of OK","Plastics/rubber","Truck","0.225385"
"Kansas City MO-KS (KS Part)","Portland OR-WA (OR Part)","Plastics/rubber","Truck","10.600613"
"Kansas City MO-KS (KS Part)","Rest of OR","Plastics/rubber","Truck","0.078063"
"Kansas City MO-KS (KS Part)","Philadelphia PA-NJ-DE-MD (PA Part)","Plastics/rubber","Truck","3.512901"
"Kansas City MO-KS (KS Part)","Pittsburgh PA-OH-WV (PA Part)","Plastics/rubber","Truck","1.025046"
"Kansas City MO-KS (KS Part)","Rest of PA","Plastics/rubber","Truck","14.444775"
"Kansas City MO-KS (KS Part)","Boston MA-RI-NH-CT (RI Part)","Plastics/rubber","Truck","0.284493"
"Kansas City MO-KS (KS Part)","Greenville SC","Plastics/rubber","Truck","0.229732"
"Kansas City MO-KS (KS Part)","Rest of SC","Plastics/rubber","Truck","0.211309"
"Kansas City MO-KS (KS Part)","South Dakota","Plastics/rubber","Truck","0.378714"
"Kansas City MO-KS (KS Part)","Nashville TN","Plastics/rubber","Truck","0.866035"
"Kansas City MO-KS (KS Part)","Rest of TN","Plastics/rubber","Truck","1.163113"
"Kansas City MO-KS (KS Part)","Austin TX","Plastics/rubber","Truck","0.162093"
"Kansas City MO-KS (KS Part)","Corpus Christi TX","Plastics/rubber","Truck","0.787657"
"Kansas City MO-KS (KS Part)","Dallas-Fort Worth TX-OK (TX Part)","Plastics/rubber","Truck","8.772605"
"Kansas City MO-KS (KS Part)","Houston TX","Plastics/rubber","Truck","1.902571"
"Kansas City MO-KS (KS Part)","Laredo TX","Plastics/rubber","Truck","4.495235"
"Kansas City MO-KS (KS Part)","San Antonio TX","Plastics/rubber","Truck","4.486966"
"Kansas City MO-KS (KS Part)","Rest of TX","Plastics/rubber","Truck","60.298420"
"Kansas City MO-KS (KS Part)","Salt Lake City UT","Plastics/rubber","Truck","2.421863"
"Kansas City MO-KS (KS Part)","Rest of UT","Plastics/rubber","Truck","0.103964"
"Kansas City MO-KS (KS Part)","Virginia Beach-Norfolk VA-NC (VA Part)","Plastics/rubber","Truck","0.265291"
"Kansas City MO-KS (KS Part)","Washington DC-VA-MD-WV (VA Part)","Plastics/rubber","Truck","2.304420"
"Kansas City MO-KS (KS Part)","Rest of VA","Plastics/rubber","Truck","2.923416"
"Kansas City MO-KS (KS Part)","Seattle WA","Plastics/rubber","Truck","2.598129"
"Kansas City MO-KS (KS Part)","Rest of WA","Plastics/rubber","Truck","0.102317"
"Kansas City MO-KS (KS Part)","Milwaukee WI","Plastics/rubber","Truck","6.724140"
"Kansas City MO-KS (KS Part)","Rest of WI","Plastics/rubber","Truck","1.454990"
"Wichita KS","Birmingham AL","Plastics/rubber","Truck","0.243162"
"Wichita KS","Mobile AL","Plastics/rubber","Truck","0.260575"
"Wichita KS","Rest of AL","Plastics/rubber","Truck","0.289617"
"Wichita KS","Phoenix AZ","Plastics/rubber","Truck","0.142434"
"Wichita KS","Tucson AZ","Plastics/rubber","Truck","0.232877"
"Wichita KS","Rest of AZ","Plastics/rubber","Truck","0.178739"
"Wichita KS","Arkansas","Plastics/rubber","Truck","11.538498"
"Wichita KS","Los Angeles CA","Plastics/rubber","Truck","19.003389"
"Wichita KS","Sacramento CA","Plastics/rubber","Truck","0.184031"
"Wichita KS","San Diego CA","Plastics/rubber","Truck","0.112271"
"Wichita KS","San Francisco CA","Plastics/rubber","Truck","1.280958"
"Wichita KS","Fresno CA","Plastics/rubber","Truck","0.007121"
"Wichita KS","Rest of CA","Plastics/rubber","Truck","0.337460"
"Wichita KS","Denver CO","Plastics/rubber","Truck","2.102095"
"Wichita KS","Rest of CO","Plastics/rubber","Truck","4.809922"
"Wichita KS","Hartford CT","Plastics/rubber","Truck","0.028940"
"Wichita KS","Washington DC-VA-MD-WV (DC Part)","Plastics/rubber","Truck","0.780944"
"Wichita KS","Jacksonville FL-GA  CFS Area (FL Part)","Plastics/rubber","Truck","2.698601"
"Wichita KS","Miami FL","Plastics/rubber","Truck","0.859335"
"Wichita KS","Orlando FL","Plastics/rubber","Truck","0.980089"
"Wichita KS","Tampa FL","Plastics/rubber","Truck","0.362820"
"Wichita KS","Rest of FL","Plastics/rubber","Truck","0.895049"
"Wichita KS","Atlanta GA","Plastics/rubber","Truck","5.689531"
"Wichita KS","Rest of GA","Plastics/rubber","Truck","3.486909"
"Wichita KS","Idaho","Plastics/rubber","Truck","0.219611"
"Wichita KS","Chicago IL-IN-WI (IL Part)","Plastics/rubber","Truck","3.470120"
"Wichita KS","St. Louis MO-IL (IL Part)","Plastics/rubber","Truck","0.465600"
"Wichita KS","Rest of IL","Plastics/rubber","Truck","1.983761"
"Wichita KS","Indianapolis IN","Plastics/rubber","Truck","0.897213"
"Wichita KS","Fort Wayne IN","Plastics/rubber","Truck","0.366037"
"Wichita KS","Rest of IN","Plastics/rubber","Truck","2.694084"
"Wichita KS","Iowa","Plastics/rubber","Truck","1.154996"
"Wichita KS","Kansas City MO-KS (KS Part)","Plastics/rubber","Truck","9.517798"
"Wichita KS","Wichita KS","Plastics/rubber","Truck","41.601841"
"Wichita KS","Rest of KS","Plastics/rubber","Truck","15.310828"
"Wichita KS","Louisville KY-IN (KY Part)","Plastics/rubber","Truck","0.037741"
"Wichita KS","Rest of KY","Plastics/rubber","Truck","0.233482"
"Wichita KS","Baton Rouge LA","Plastics/rubber","Truck","0.006911"
"Wichita KS","Lake Charles LA","Plastics/rubber","Truck","0.026565"
"Wichita KS","New Orleans LA-MS (LA Part)","Plastics/rubber","Truck","0.070114"
"Wichita KS","Rest of LA","Plastics/rubber","Truck","0.242943"
"Wichita KS","Maine","Plastics/rubber","Truck","0.235939"
"Wichita KS","Baltimore MD","Plastics/rubber","Truck","0.228073"
"Wichita KS","Washington DC-VA-MD-WV (MD Part)","Plastics/rubber","Truck","0.088374"
"Wichita KS","Boston MA-RI-NH-CT (MA Part)","Plastics/rubber","Truck","0.180952"
"Wichita KS","Rest of MA","Plastics/rubber","Truck","1.869726"
"Wichita KS","Detroit MI","Plastics/rubber","Truck","0.197045"
"Wichita KS","Grand Rapids MI","Plastics/rubber","Truck","0.965461"
"Wichita KS","Rest of MI","Plastics/rubber","Truck","0.341990"
"Wichita KS","Minneapolis-St. Paul MN-WI (MN Part)","Plastics/rubber","Truck","0.228938"
"Wichita KS","Rest of MN","Plastics/rubber","Truck","0.185089"
"Wichita KS","Mississippi","Plastics/rubber","Truck","0.502181"
"Wichita KS","Kansas City MO-KS (MO Part)","Plastics/rubber","Truck","5.086558"
"Wichita KS","St. Louis MO-IL (MO Part)","Plastics/rubber","Truck","0.981081"
"Wichita KS","Rest of MO","Plastics/rubber","Truck","11.341533"
"Wichita KS","Montana","Plastics/rubber","Truck","0.265748"
"Wichita KS","Omaha NE-IA (NE Part)","Plastics/rubber","Truck","0.243579"
"Wichita KS","Rest of NE","Plastics/rubber","Truck","0.944726"
"Wichita KS","Las Vegas NV-AZ (NV Part)","Plastics/rubber","Truck","0.312741"
"Wichita KS","New York NY-NJ-CT-PA (NJ Part)","Plastics/rubber","Truck","1.101989"
"Wichita KS","Philadelphia PA-NJ-DE-MD (NJ Part)","Plastics/rubber","Truck","0.308985"
"Wichita KS","Albany NY  CFS Area","Plastics/rubber","Truck","0.000117"
"Wichita KS","Buffalo NY  CFS Area","Plastics/rubber","Truck","1.375732"
"Wichita KS","New York NY-NJ-CT-PA (NY Part)","Plastics/rubber","Truck","0.722811"
"Wichita KS","Rest of NY","Plastics/rubber","Truck","0.073973"
"Wichita KS","Charlotte NC-SC (NC Part)","Plastics/rubber","Truck","14.200718"
"Wichita KS","Greensboro--Winston-Salem--High Point NC","Plastics/rubber","Truck","0.222573"
"Wichita KS","Raleigh-Durham NC","Plastics/rubber","Truck","0.259464"
"Wichita KS","Rest of NC","Plastics/rubber","Truck","1.950384"
"Wichita KS","North Dakota","Plastics/rubber","Truck","0.550309"
"Wichita KS","Cincinnati OH-KY-IN (OH Part)","Plastics/rubber","Truck","0.338722"
"Wichita KS","Cleveland OH","Plastics/rubber","Truck","1.182313"
"Wichita KS","Columbus OH","Plastics/rubber","Truck","1.058628"
"Wichita KS","Dayton OH","Plastics/rubber","Truck","0.253387"
"Wichita KS","Rest of OH","Plastics/rubber","Truck","1.024347"
"Wichita KS","Oklahoma City OK","Plastics/rubber","Truck","9.185943"
"Wichita KS","Tulsa OK","Plastics/rubber","Truck","0.975971"
"Wichita KS","Rest of OK","Plastics/rubber","Truck","0.224874"
"Wichita KS","Portland OR-WA (OR Part)","Plastics/rubber","Truck","1.083705"
"Wichita KS","Rest of OR","Plastics/rubber","Truck","0.009118"
"Wichita KS","Philadelphia PA-NJ-DE-MD (PA Part)","Plastics/rubber","Truck","13.727056"
"Wichita KS","Pittsburgh PA-OH-WV (PA Part)","Plastics/rubber","Truck","0.085625"
"Wichita KS","New York NY-NJ-CT-PA (PA Part)","Plastics/rubber","Truck","2.453546"
"Wichita KS","Rest of PA","Plastics/rubber","Truck","1.255751"
"Wichita KS","Boston MA-RI-NH-CT (RI Part)","Plastics/rubber","Truck","0.000117"
"Wichita KS","Greenville SC","Plastics/rubber","Truck","0.459076"
"Wichita KS","Rest of SC","Plastics/rubber","Truck","0.212828"
"Wichita KS","South Dakota","Plastics/rubber","Truck","0.628154"
"Wichita KS","Memphis TN-MS-AR (TN Part)","Plastics/rubber","Truck","0.303705"
"Wichita KS","Nashville TN","Plastics/rubber","Truck","0.082243"
"Wichita KS","Knoxville TN","Plastics/rubber","Truck","1.024139"
"Wichita KS","Rest of TN","Plastics/rubber","Truck","0.214687"
"Wichita KS","Beaumont TX","Plastics/rubber","Truck","0.222894"
"Wichita KS","Dallas-Fort Worth TX-OK (TX Part)","Plastics/rubber","Truck","23.661774"
"Wichita KS","Houston TX","Plastics/rubber","Truck","6.391098"
"Wichita KS","Laredo TX","Plastics/rubber","Truck","6.246059"
"Wichita KS","San Antonio TX","Plastics/rubber","Truck","0.348681"
"Wichita KS","Rest of TX","Plastics/rubber","Truck","10.604856"
"Wichita KS","Vermont","Plastics/rubber","Truck","0.320083"
"Wichita KS","Richmond VA","Plastics/rubber","Truck","0.913714"
"Wichita KS","Virginia Beach-Norfolk VA-NC (VA Part)","Plastics/rubber","Truck","0.175562"
"Wichita KS","Rest of VA","Plastics/rubber","Truck","1.281592"
"Wichita KS","Seattle WA","Plastics/rubber","Truck","0.317297"
"Wichita KS","Rest of WA","Plastics/rubber","Truck","0.326549"
"Wichita KS","Milwaukee WI","Plastics/rubber","Truck","0.997541"
"Wichita KS","Rest of WI","Plastics/rubber","Truck","2.314517"
"Wichita KS","Wyoming","Plastics/rubber","Truck","0.267087"
"Rest of KS","Rest of AL","Plastics/rubber","Truck","2.920003"
"Rest of KS","Phoenix AZ","Plastics/rubber","Truck","0.145938"
"Rest of KS","Tucson AZ","Plastics/rubber","Truck","0.187954"
"Rest of KS","Rest of AZ","Plastics/rubber","Truck","1.998065"
"Rest of KS","Arkansas","Plastics/rubber","Truck","8.559944"
"Rest of KS","Los Angeles CA","Plastics/rubber","Truck","14.015969"
"Rest of KS","Sacramento CA","Plastics/rubber","Truck","0.162511"
"Rest of KS","San Francisco CA","Plastics/rubber","Truck","0.239357"
"Rest of KS","Fresno CA","Plastics/rubber","Truck","1.092944"
"Rest of KS","Rest of CA","Plastics/rubber","Truck","0.223478"
"Rest of KS","Denver CO","Plastics/rubber","Truck","0.995763"
"Rest of KS","Rest of CO","Plastics/rubber","Truck","0.706085"
"Rest of KS","Rest of CT","Plastics/rubber","Truck","0.238122"
"Rest of KS","Rest of DE","Plastics/rubber","Truck","0.409203"
"Rest of KS","Jacksonville FL-GA  CFS Area (FL Part)","Plastics/rubber","Truck","0.293907"
"Rest of KS","Miami FL","Plastics/rubber","Truck","0.904429"
"Rest of KS","Orlando FL","Plastics/rubber","Truck","1.915600"
"Rest of KS","Tampa FL","Plastics/rubber","Truck","0.267301"
"Rest of KS","Rest of FL","Plastics/rubber","Truck","0.856070"
"Rest of KS","Atlanta GA","Plastics/rubber","Truck","19.129765"
"Rest of KS","Savannah GA","Plastics/rubber","Truck","0.371158"
"Rest of KS","Rest of GA","Plastics/rubber","Truck","5.036037"
"Rest of KS","Idaho","Plastics/rubber","Truck","1.813790"
"Rest of KS","Chicago IL-IN-WI (IL Part)","Plastics/rubber","Truck","20.546425"
"Rest of KS","St. Louis MO-IL (IL Part)","Plastics/rubber","Truck","2.088132"
"Rest of KS","Rest of IL","Plastics/rubber","Truck","3.789520"
"Rest of KS","Indianapolis IN","Plastics/rubber","Truck","0.706542"
"Rest of KS","Fort Wayne IN","Plastics/rubber","Truck","0.123103"
"Rest of KS","Rest of IN","Plastics/rubber","Truck","1.274049"
"Rest of KS","Iowa","Plastics/rubber","Truck","5.293754"
"Rest of KS","Kansas City MO-KS (KS Part)","Plastics/rubber","Truck","11.764403"
"Rest of KS","Wichita KS","Plastics/rubber","Truck","1.050847"
"Rest of KS","Rest of KS","Plastics/rubber","Truck","495.436066"
"Rest of KS","Louisville KY-IN (KY Part)","Plastics/rubber","Truck","0.123312"
"Rest of KS","Rest of KY","Plastics/rubber","Truck","0.220268"
"Rest of KS","Baton Rouge LA","Plastics/rubber","Truck","0.260185"
"Rest of KS","Lake Charles LA","Plastics/rubber","Truck","0.482423"
"Rest of KS","Rest of LA","Plastics/rubber","Truck","1.006651"
"Rest of KS","Maine","Plastics/rubber","Truck","0.146548"
"Rest of KS","Baltimore MD","Plastics/rubber","Truck","0.148698"
"Rest of KS","Washington DC-VA-MD-WV (MD Part)","Plastics/rubber","Truck","0.907061"
"Rest of KS","Boston MA-RI-NH-CT (MA Part)","Plastics/rubber","Truck","0.396536"
"Rest of KS","Rest of MA","Plastics/rubber","Truck","0.104998"
"Rest of KS","Detroit MI","Plastics/rubber","Truck","0.741194"
"Rest of KS","Grand Rapids MI","Plastics/rubber","Truck","0.227475"
"Rest of KS","Rest of MI","Plastics/rubber","Truck","1.449373"
"Rest of KS","Minneapolis-St. Paul MN-WI (MN Part)","Plastics/rubber","Truck","1.852730"
"Rest of KS","Rest of MN","Plastics/rubber","Truck","0.083799"
"Rest of KS","Kansas City MO-KS (MO Part)","Plastics/rubber","Truck","0.944878"
"Rest of KS","St. Louis MO-IL (MO Part)","Plastics/rubber","Truck","0.255823"
"Rest of KS","Rest of MO","Plastics/rubber","Truck","0.883380"
"Rest of KS","Montana","Plastics/rubber","Truck","0.005672"
"Rest of KS","Omaha NE-IA (NE Part)","Plastics/rubber","Truck","0.200417"
"Rest of KS","Rest of NE","Plastics/rubber","Truck","4.875642"
"Rest of KS","Rest of NV","Plastics/rubber","Truck","0.000100"
"Rest of KS","Boston MA-RI-NH-CT (NH Part)","Plastics/rubber","Truck","0.273363"
"Rest of KS","New York NY-NJ-CT-PA (NJ Part)","Plastics/rubber","Truck","2.004961"
"Rest of KS","Philadelphia PA-NJ-DE-MD (NJ Part)","Plastics/rubber","Truck","0.277528"
"Rest of KS","New Mexico","Plastics/rubber","Truck","0.289230"
"Rest of KS","New York NY-NJ-CT-PA (NY Part)","Plastics/rubber","Truck","1.874899"
"Rest of KS","Rochester NY","Plastics/rubber","Truck","0.323390"
"Rest of KS","Rest of NY","Plastics/rubber","Truck","0.252453"
"Rest of KS","Charlotte NC-SC (NC Part)","Plastics/rubber","Truck","1.062993"
